GEO_ID,NAME,C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,
860Z200US01001,ZCTA5 01001,631,230,297,155,23,40,47,51,90,106,137,100,334,118,110,82,54,59,87,84,83,80,
860Z200US01002,ZCTA5 01002,983,214,457,136,22,32,181,88,17,18,237,106,526,137,41,34,111,69,94,75,280,123,
860Z200US01003,ZCTA5 01003,1,2,1,2,0,21,1,2,0,21,0,21,0,21,0,21,0,21,0,21,0,21,
860Z200US01005,ZCTA5 01005,61,73,60,74,0,14,34,44,26,48,0,14,1,2,0,14,1,2,0,14,0,14,
860Z200US01007,ZCTA5 01007,346,185,233,129,31,48,30,35,156,102,16,24,113,76,0,21,37,51,13,22,63,65,
860Z200US01008,ZCTA5 01008,32,26,14,18,0,14,10,16,4,5,0,14,18,19,0,14,0,14,10,10,8,10,
860Z200US01009,ZCTA5 01009,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01010,ZCTA5 01010,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01011,ZCTA5 01011,6,8,0,14,0,14,0,14,0,14,0,14,6,8,0,14,0,14,0,14,6,8,
860Z200US01012,ZCTA5 01012,10,16,0,14,0,14,0,14,0,14,0,14,10,16,0,14,0,14,0,14,10,16,
860Z200US01013,ZCTA5 01013,3926,455,2014,324,508,226,864,260,297,149,345,161,1912,327,466,161,349,173,877,292,220,123,
860Z200US01020,ZCTA5 01020,3106,623,1621,499,562,277,574,260,477,291,8,13,1485,329,292,129,638,301,356,148,199,123,
860Z200US01022,ZCTA5 01022,70,81,16,36,0,14,0,14,10,27,6,21,54,56,0,14,0,14,54,56,0,14,
860Z200US01026,ZCTA5 01026,6,7,3,4,0,14,0,14,0,14,3,4,3,5,0,14,0,14,0,14,3,5,
860Z200US01027,ZCTA5 01027,793,266,496,175,143,119,177,95,40,54,136,100,297,130,3,4,55,70,140,90,99,64,
860Z200US01028,ZCTA5 01028,660,261,395,210,12,18,84,78,233,190,66,61,265,144,0,21,46,56,162,116,57,57,
860Z200US01029,ZCTA5 01029,11,14,2,5,0,14,0,14,0,14,2,5,9,13,3,5,0,14,6,9,0,14,
860Z200US01030,ZCTA5 01030,202,107,120,82,13,21,31,32,62,65,14,19,82,63,12,18,42,55,4,8,24,28,
860Z200US01031,ZCTA5 01031,76,46,51,33,0,14,17,20,21,26,13,17,25,17,0,14,13,16,0,14,12,15,
860Z200US01032,ZCTA5 01032,5,8,0,14,0,14,0,14,0,14,0,14,5,8,0,14,0,14,0,14,5,8,
860Z200US01033,ZCTA5 01033,172,151,105,104,22,33,21,34,0,19,62,93,67,86,0,19,22,34,0,19,45,55,
860Z200US01034,ZCTA5 01034,2,4,0,14,0,14,0,14,0,14,0,14,2,4,0,14,0,14,0,14,2,4,
860Z200US01035,ZCTA5 01035,145,117,107,113,0,19,0,19,47,70,60,95,38,36,11,20,0,19,0,19,27,32,
860Z200US01036,ZCTA5 01036,176,134,114,89,0,14,40,60,22,35,52,58,62,66,0,14,0,14,38,62,24,26,
860Z200US01037,ZCTA5 01037,7,10,0,14,0,14,0,14,0,14,0,14,7,10,0,14,7,10,0,14,0,14,
860Z200US01038,ZCTA5 01038,79,67,52,51,0,14,32,44,20,26,0,14,27,29,0,14,0,14,13,22,14,22,
860Z200US01039,ZCTA5 01039,19,18,0,14,0,14,0,14,0,14,0,14,19,18,0,14,0,14,6,9,13,14,
860Z200US01040,ZCTA5 01040,10927,644,4836,529,1955,374,1602,304,902,230,377,241,6091,381,2211,281,2012,264,1311,315,557,184,
860Z200US01050,ZCTA5 01050,25,30,7,11,0,14,0,14,0,14,7,11,18,21,3,8,4,6,0,14,11,15,
860Z200US01053,ZCTA5 01053,51,51,24,28,3,6,3,7,10,18,8,20,27,31,0,14,0,14,3,7,24,30,
860Z200US01054,ZCTA5 01054,38,27,27,23,0,14,0,14,0,14,27,23,11,13,8,12,0,14,3,4,0,14,
860Z200US01056,ZCTA5 01056,1254,445,721,240,224,92,314,176,159,141,24,38,533,260,28,24,120,92,257,213,128,76,
860Z200US01057,ZCTA5 01057,208,206,61,74,53,73,0,19,8,11,0,19,147,134,21,25,106,133,19,21,1,3,
860Z200US01060,ZCTA5 01060,792,240,383,128,181,116,23,29,47,50,132,80,409,143,129,86,71,85,27,33,182,77,
860Z200US01062,ZCTA5 01062,497,218,188,104,85,72,66,58,32,29,5,19,309,140,134,88,11,19,60,48,104,78,
860Z200US01063,ZCTA5 01063,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01066,ZCTA5 01066,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01068,ZCTA5 01068,10,12,8,13,4,11,0,14,1,4,3,5,2,3,2,3,0,14,0,14,0,14,
860Z200US01069,ZCTA5 01069,397,253,289,253,246,252,0,19,18,29,25,37,108,80,10,22,5,4,32,43,61,71,
860Z200US01070,ZCTA5 01070,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01071,ZCTA5 01071,29,34,11,17,0,14,0,14,0,14,11,17,18,19,4,6,0,14,0,14,14,17,
860Z200US01072,ZCTA5 01072,80,43,48,44,2,3,0,14,5,7,41,45,32,16,0,14,0,14,9,11,23,13,
860Z200US01073,ZCTA5 01073,112,98,32,46,0,19,0,19,0,19,32,46,80,62,0,19,7,11,0,19,73,63,
860Z200US01074,ZCTA5 01074,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01075,ZCTA5 01075,393,132,107,86,0,21,31,48,27,30,49,66,286,109,3,6,38,54,94,101,151,65,
860Z200US01077,ZCTA5 01077,297,121,104,62,0,19,26,43,40,38,38,41,193,98,19,31,58,73,72,60,44,41,
860Z200US01079,ZCTA5 01079,35,53,0,14,0,14,0,14,0,14,0,14,35,53,0,14,35,53,0,14,0,14,
860Z200US01080,ZCTA5 01080,87,94,62,93,62,93,0,14,0,14,0,14,25,31,0,14,17,26,0,14,8,15,
860Z200US01081,ZCTA5 01081,35,30,21,23,0,14,18,22,0,14,3,5,14,17,1,2,0,14,0,14,13,17,
860Z200US01082,ZCTA5 01082,262,140,74,62,14,23,43,56,11,18,6,9,188,103,30,34,67,53,31,45,60,65,
860Z200US01083,ZCTA5 01083,57,87,34,52,34,52,0,14,0,14,0,14,23,36,0,14,0,14,0,14,23,36,
860Z200US01084,ZCTA5 01084,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01085,ZCTA5 01085,2439,582,1111,360,269,150,501,223,64,62,277,264,1328,339,382,164,283,150,379,172,284,156,
860Z200US01088,ZCTA5 01088,5,8,0,14,0,14,0,14,0,14,0,14,5,8,0,14,0,14,5,8,0,14,
860Z200US01089,ZCTA5 01089,1967,483,813,233,230,124,227,123,244,136,112,71,1154,355,155,117,242,151,314,158,443,276,
860Z200US01092,ZCTA5 01092,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01093,ZCTA5 01093,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01094,ZCTA5 01094,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01095,ZCTA5 01095,394,188,106,91,35,52,25,27,0,21,46,62,288,137,0,21,19,35,122,90,147,91,
860Z200US01096,ZCTA5 01096,35,29,18,20,2,4,13,17,3,9,0,14,17,19,0,14,0,14,0,14,17,19,
860Z200US01097,ZCTA5 01097,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01098,ZCTA5 01098,6,8,0,14,0,14,0,14,0,14,0,14,6,8,1,2,0,14,0,14,5,8,
860Z200US01103,ZCTA5 01103,846,162,267,107,115,77,70,54,24,31,58,50,579,140,134,70,147,115,114,82,184,106,
860Z200US01104,ZCTA5 01104,8556,953,3607,520,1493,412,1504,373,424,184,186,112,4949,627,1132,274,1629,458,1404,314,784,308,
860Z200US01105,ZCTA5 01105,4899,750,2330,493,1046,301,821,304,394,261,69,60,2569,383,1082,270,643,187,721,226,123,80,
860Z200US01106,ZCTA5 01106,286,153,137,119,1,4,48,70,64,91,24,28,149,88,7,20,0,21,16,18,126,91,
860Z200US01107,ZCTA5 01107,5218,647,2396,421,1084,320,790,282,451,154,71,54,2822,468,1084,211,861,316,557,201,320,170,
860Z200US01108,ZCTA5 01108,6332,826,3000,545,1136,376,916,314,660,284,288,219,3332,490,839,226,1198,383,914,341,381,165,
860Z200US01109,ZCTA5 01109,7249,825,3041,453,1337,428,816,285,701,226,187,104,4208,552,1446,424,1286,327,1035,255,441,230,
860Z200US01118,ZCTA5 01118,1748,355,670,203,217,116,122,88,171,93,160,102,1078,223,165,104,442,164,306,140,165,100,
860Z200US01119,ZCTA5 01119,2514,524,1232,347,217,113,479,204,365,220,171,143,1282,254,379,187,475,130,371,179,57,54,
860Z200US01128,ZCTA5 01128,448,227,256,129,33,39,77,55,42,46,104,78,192,113,39,37,29,32,66,59,58,51,
860Z200US01129,ZCTA5 01129,1140,278,544,203,30,32,175,129,277,160,62,44,596,151,33,26,204,105,124,86,235,114,
860Z200US01144,ZCTA5 01144,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01151,ZCTA5 01151,2449,454,1199,312,322,135,396,173,319,160,162,148,1250,250,195,100,549,176,313,106,193,120,
860Z200US01201,ZCTA5 01201,1889,251,967,176,230,118,297,134,304,140,136,112,922,150,210,136,311,132,143,98,258,133,
860Z200US01220,ZCTA5 01220,148,84,56,44,0,19,45,40,11,19,0,19,92,62,0,19,0,19,27,33,65,54,
860Z200US01222,ZCTA5 01222,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01223,ZCTA5 01223,65,57,27,34,0,14,0,14,14,19,13,26,38,35,6,10,1,3,10,21,21,27,
860Z200US01224,ZCTA5 01224,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01225,ZCTA5 01225,9,10,5,8,0,14,0,14,5,8,0,14,4,8,0,14,0,14,4,8,0,14,
860Z200US01226,ZCTA5 01226,111,81,45,47,10,22,17,26,0,19,18,33,66,52,18,29,0,19,0,19,48,41,
860Z200US01229,ZCTA5 01229,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01230,ZCTA5 01230,188,117,51,32,4,5,39,32,5,6,3,4,137,109,6,17,33,61,68,66,30,34,
860Z200US01235,ZCTA5 01235,63,55,51,48,22,31,29,34,0,14,0,14,12,13,0,14,12,13,0,14,0,14,
860Z200US01236,ZCTA5 01236,20,27,20,27,20,27,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,
860Z200US01237,ZCTA5 01237,5,8,4,8,0,14,3,6,0,14,1,4,1,2,0,14,0,14,0,14,1,2,
