zcta19,year,avg_download_speed,avg_upload_speed,tot_hs_providers,res_hs_providers
1001,2020,188.7758,7.400942,1,1
1002,2020,170.3784,7.943439,3,3
1003,2020,83.92742,3.814839,1,1
1005,2020,215.7691,8.665116,1,1
1007,2020,237.0645,10.05645,3,3
1008,2020,25.49719,2.468996,1,1
1009,2020,213.7292,8.281792,1,1
1010,2020,236.3779,9.391037,2,2
1011,2020,135.7998,6.178054,1,1
1012,2020,30.86012,2.56069,1,1
1013,2020,219.3388,8.782551,2,2
1020,2020,230.5195,9.475301,3,3
1022,2020,207.2703,8.375281,2,2
1026,2020,27.81671,11.40233,1,1
1027,2020,225.9418,9.055212,2,2
1028,2020,229.0289,9.125787,2,2
1029,2020,155.4452,137.835,2,2
1030,2020,190.1451,7.783746,1,1
1031,2020,195.6633,7.656374,1,1
1032,2020,23.68033,2.385951,1,1
1033,2020,203.6972,9.130248,3,3
1034,2020,106.8127,5.185563,1,1
1035,2020,230.636,9.165771,2,2
1036,2020,227.4268,9.057117,1,1
1037,2020,200.597,7.816751,1,1
1038,2020,165.529,6.543455,1,1
1039,2020,189.6346,7.511027,1,1
1040,2020,173.4704,6.870069,2,2
1050,2020,155.4347,6.836605,1,1
1053,2020,181.3825,7.135284,1,1
1054,2020,185.3457,152.1717,2,2
1056,2020,219.8777,8.801305,2,2
1057,2020,205.8975,8.013101,2,2
1060,2020,168.9496,6.740789,2,2
1062,2020,203.3584,7.939157,2,2
1063,2020,101.1667,4.4056,1,1
1066,2020,157.32,6.25344,1,1
1068,2020,186.6637,7.680559,1,1
1069,2020,179.7763,7.096898,2,2
1070,2020,159.4813,145.5337,1,1
1071,2020,27.5458,2.487954,1,1
1072,2020,43.0864,5.893117,1,1
1073,2020,222.0955,9.176005,1,1
1074,2020,227.3617,9.055574,1,1
1075,2020,190.5559,7.452317,2,2
1077,2020,182.4381,7.705195,1,1
1079,2020,136.2018,5.59986,1,1
1080,2020,211.1569,8.160084,1,1
1081,2020,188.2948,7.666597,1,1
1082,2020,184.5992,7.267228,2,2
1083,2020,197.1477,7.758902,2,2
1084,2020,20.05233,2.384233,0,0
1085,2020,253.6176,106.0627,3,3
1086,2020,88.57143,4.640572,1,1
1088,2020,171.5526,6.761298,1,1
1089,2020,164.6287,6.59436,1,1
1092,2020,171.2089,6.827568,2,2
1093,2020,165.0865,6.573538,1,1
1094,2020,196.2464,7.624638,1,1
1095,2020,236.0375,9.377742,2,2
1096,2020,121.4432,5.65943,1,1
1097,2020,20.3625,2.28345,0,0
1098,2020,22.84201,2.314167,1,1
1103,2020,132.1903,5.433854,1,1
1104,2020,177.4782,7.039539,2,2
1105,2020,175.7394,6.946035,1,1
1106,2020,183.2118,7.21105,2,2
1107,2020,188.7721,7.423366,2,2
1108,2020,192.0425,7.518136,2,2
1109,2020,181.608,7.161889,1,1
1118,2020,198.8188,7.745577,2,2
